,title,platform,datetime,critic_score,critic_score_text,url,comments,upvotes,img
712,Lumines Remastered: Groove Is In The Heart,"NS, PS4, XONE, PC","Thursday, Jun 28, 2018 11:56am",8,Great,https://www.gamespot.com/reviews/lumines-remastered-groove-is-in-the-heart/1900-6416937/,1,18,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3407552-8545946496-6bfd3834425c5968f9d494d67f6ad3c8
713,Crash Bandicoot N Sane Trilogy Review: Marsupial Makeover,"PS4, NS, XONE, PC","Thursday, Jun 28, 2018 8:08am",6,Fair,https://www.gamespot.com/reviews/crash-bandicoot-n-sane-trilogy-review-marsupial-ma/1900-6416709/,751,217,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3254907-5980009233-375519933269653
714,Mario Tennis Aces Review: Aim High,NS,"Wednesday, Jun 27, 2018 8:14am",7,Good,https://www.gamespot.com/reviews/mario-tennis-aces-review-aim-high/1900-6416932/,65,57,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3406888-1517952746-1b728136ae6d3802a62e434594391586
715,Nier: Automata Review,"PC, PS4, XONE","Tuesday, Jun 26, 2018 8:03pm",9,Superb,https://www.gamespot.com/reviews/nier-automata-review/1900-6416628/,795,277,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3203875-3166347301-Nier-.jpg
716,The Awesome Adventures Of Captain Spirit - Mind Over Matter,"XONE, PS4, PC","Tuesday, Jun 26, 2018 6:56pm",8,Great,https://www.gamespot.com/reviews/the-awesome-adventures-of-captain-spirit-mind-over/1900-6416934/,33,36,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3405940-captainspirit_promo.jpg
717,Jurassic World Evolution Review: Life Finds A Way,"PS4, PC, XONE","Thursday, Jun 21, 2018 8:46am",7,Good,https://www.gamespot.com/reviews/jurassic-world-evolution-review-life-finds-a-way/1900-6416933/,36,66,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3404741-jurassic-world-evolution_01.jpg
718,Unravel 2 Review: Partners In Twine,PS4,"Tuesday, Jun 19, 2018 8:47am",8,Great,https://www.gamespot.com/reviews/unravel-2-review-partners-in-twine/1900-6416931/,8,34,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3404054-0760414492-4e9c6ccc4eed291fdb8148da447cd371
719,Moonlighter Review: Open For Business,"PC, PS4","Monday, Jun 11, 2018 1:00pm",7,Good,https://www.gamespot.com/reviews/moonlighter-review-open-for-business/1900-6416930/,10,18,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3397740-moonlighterhead.jpg
720,Sushi Striker: The Way Of Sushido Review - Cartoon Cuisine Combat,NS,"Friday, Jun 8, 2018 8:45am",7,Good,https://www.gamespot.com/reviews/sushi-striker-the-way-of-sushido-review-cartoon-cu/1900-6416929/,8,10,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3397197-2018060322452400-d5b33970f49d634552dfae6d352d1c7e.jpg
721,"West Of Loathing Review: Wild, Wild West","PC, NS","Friday, Jun 8, 2018 7:16am",8,Great,https://www.gamespot.com/reviews/west-of-loathing-review-wild-wild-west/1900-6416928/,10,29,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3396669-westloathingheader.jpg
722,BlazBlue: Cross Tag Battle Review - The Tag Team Dream,"NS, PS4","Thursday, Jun 7, 2018 3:24pm",9,Superb,https://www.gamespot.com/reviews/blazblue-cross-tag-battle-review-the-tag-team-drea/1900-6416926/,34,38,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3396149-1837984100-8354bbbdc16680d3e8d9f4f43c657d5b
723,Onrush Review: Push It To The Limit,PS4,"Wednesday, Jun 6, 2018 3:24pm",9,Superb,https://www.gamespot.com/reviews/onrush-review-push-it-to-the-limit/1900-6416927/,71,48,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3396221-0093347749-08166.jpg
724,Golem Review: Hidden In Plain Sight,PC,"Wednesday, Jun 6, 2018 9:17am",5,Mediocre,https://www.gamespot.com/reviews/golem-review-hidden-in-plain-sight/1900-6416925/,4,10,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3396060-7844647420-Golem.jpg
725,Vampyr Review: The City That Never Sleeps,"PS4, PC","Monday, Jun 4, 2018 3:20pm",7,Good,https://www.gamespot.com/reviews/vampyr-review-the-city-that-never-sleeps/1900-6416924/,165,144,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3394831-0145537912-9b782ac6dfd24c48733cf3c05f1b8e84
726,Yoku’s Island Express Review: A Breath of Fresh Air,PC,"Monday, Jun 4, 2018 2:35pm",9,Superb,https://www.gamespot.com/reviews/yokus-island-express-review-a-breath-of-fresh-air/1900-6416923/,14,43,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3394221-yokusislandexpress-review-promo-nologo.jpg
727,Dillon's Dead-Heat Breakers Review: Running On Fumes,3DS,"Saturday, Jun 2, 2018 11:54am",6,Fair,https://www.gamespot.com/reviews/dillons-dead-heat-breakers-review-running-on-fumes/1900-6416921/,1,9,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3394059-3328306999-68916902ed31b9972870568a25397a16
728,The Forest Review: Are You Afraid Of The Dark?,PC,"Saturday, Jun 2, 2018 9:56am",8,Great,https://www.gamespot.com/reviews/the-forest-review-are-you-afraid-of-the-dark/1900-6416922/,31,49,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3394061-3887896174-f2cd800aba195175a85387403464481c
729,Agony Review: A Captivating Disappointment,PC,"Thursday, May 31, 2018 5:19pm",3,Bad,https://www.gamespot.com/reviews/agony-review-a-captivating-disappointment/1900-6416919/,52,75,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3392649-1204456620-maxre.jpg
730,Street Fighter 30th Anniversary Collection Review - Keep The Past Alive,"XONE, NS, PC, PS4","Wednesday, May 30, 2018 3:57pm",8,Great,https://www.gamespot.com/reviews/street-fighter-30th-anniversary-collection-review-/1900-6416920/,35,57,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3392908-6556145536-e9251bb5bc992317bb84541b30c2b2db
731,"Quarantine Circular Review: Who Are We, Really?",PC,"Tuesday, May 29, 2018 1:03pm",7,Good,https://www.gamespot.com/reviews/quarantine-circular-review-who-are-we-really/1900-6416918/,2,7,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3392113-0237470442-57f7cdafcd13ecd27d8f4969417707b3
