url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/olliolli2/,OlliOlli2: Welcome to Olliwood,"Mar 3, 2015","Linux, Macintosh, PC, PlayStation 4, PlayStation Vita, Xbox One",OlliOlli2: Welcome to Olliwood plucks the iconic skater from the street and dropping him squarely in the middle of the Big Screen’s most bodacious cinematic locations.,roll7,"Devolver Digital, roll7, PQube, Team 17","Skateboarding/Skating, Sports",Teen
https://www.gamespot.com/games/dmc-devil-may-cry/,DmC: Devil May Cry,"Jan 15, 2013","PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One","DMC is the next installment in the gothic Devil May Cry series, featuring a short-coiffed, fully aggressive Dante.","QLOC, Ninja Theory",Capcom,"Adventure, Action",Mature
https://www.gamespot.com/games/lords-of-the-fallen/,Lords of the Fallen,"Oct 28, 2014","Android, iOS (iPhone/iPad), PC, PlayStation 4, Xbox One","Lords of the Fallen is a hardcore action-RPG featuring an advanced combat systems and robust class skill trees that will be coming out for PC, Xbox One, and PlayStation 4.","Deck 13, City Interactive, CI Games","CI Games, City Interactive, Bandai Namco Games, Ubisoft, Nina Freeman, Laura Knetzger, Stephen Lawrence Clark","Action, Role-Playing",Mature
https://www.gamespot.com/games/mario-vs-donkey-kong/,Mario vs. Donkey Kong: Tipping Stars,"Dec 31, 2015","3DS, Wii U",The Mario vs. Donkey Kong series makes its way to Wii U with the newest game in the charming puzzle series. This HD entry takes full advantage of the touch screen on the GamePad controller and features a near-limitless puzzle-creation mode.,Nintendo Software Technology,Nintendo,"Action, Puzzle",Everyone
https://www.gamespot.com/games/qbert-rebooted/,Q*bert: Rebooted,"Jul 7, 2014","Android, iOS (iPhone/iPad), Linux, Macintosh, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox One","Q*bert Rebooted takes the arcade classic and catapults it into the 21st century 3D game play that takes full advantage of today’s technologies yet remains faithful to the original Q*bert. Featuring hexagonal blocks instead of squares, Q*bert Rebooted introduces new enemies, playable characters, power-ups, traps, gem collecting, multiple characters, downloadable content and new ways to play.","Sideline Amusements, LOOT Entertainment, GPC Games","Sideline Amusements, LOOT Entertainment, LOOT Interactive","Action, Arcade",Everyone 10+
https://www.gamespot.com/games/oreshika-tainted-bloodlines/,Oreshika: Tainted Bloodlines,"Mar 3, 2015",PlayStation Vita,Oreshika: Tainted Bloodlines is an RPG where you must lead an ancient Japanese clan in search of revenge against a fearsome demon.,Alfa System,"SCEI, SCEE, SCEA, SCE Australia",Role-Playing,Teen
https://www.gamespot.com/games/screamride/,ScreamRide,"Mar 3, 2015","Xbox 360, Xbox One","Screamride is a full-featured, physics-based coaster game where creativity and destruction are equally welcomed.",Frontier Developments,Microsoft Game Studios,Simulation,Everyone 10+
https://www.gamespot.com/games/resident-evil-revelations-2/,Resident Evil: Revelations 2,"Mar 17, 2015","Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One","Resident Evil Revelations 2 brings the terror to a new setting for PlayStation 4, PlayStation 3, Xbox 360, Xbox One, and PC.","Capcom, Frima Studio","Capcom, SCEA, SCEE","3D, Action, Adventure, Survival",Mature
https://www.gamespot.com/games/oblitus/,Oblitus,"Feb 27, 2015",PC,"Oblitus follows the tale of a small, spear-wielding creature named Parvus who seeks to discover their purpose and origin within an unfamiliar realm full of huge, ancient terrors.",Connor Ullmann,Adult Swim,"2D, Action, Platformer",
https://www.gamespot.com/games/republique-remastered/,Republique Remastered,"Dec 31, 2014","Android, iOS (iPhone/iPad), Macintosh, Nintendo Switch, Oculus Go, Oculus Quest, PC, PlayStation 4, Stadia",Republique is a stealth-action game that explores the perils of government surveillance in the Internet Age.,"Camouflaj, LLC","Camouflaj, LLC, GungHo, Limited Run Games, NIS America","Action, Adventure",Mature
https://www.gamespot.com/games/hand-of-fate/,Hand of Fate,"Jul 7, 2014","Linux, Macintosh, PC, PlayStation 4, Xbox One","In Hand of Fate, players collect equipment, items, artifacts and enemies as in-game collectible cards in a card based RPG; then play their deck, bringing to video game life a beautiful 3D world in which gamers make difficult decisions.  Sometimes their choices have unexpected consequences and players must crush their foes utilizing a third person action-adventure combat system. The more bosses a player defeats, the more cards they obtain.",Defiant Development,Defiant Development,Trivia/Board Game,Teen
https://www.gamespot.com/games/sleeping-dogs/,Sleeping Dogs,"Aug 13, 2012","Macintosh, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Square Enix is resurrecting the game formerly known as True Crime: Hong Kong from United Front Games.,"Feral Interactive, United Front Games","Feral Interactive, Square Enix, Sony DADC Brasil","Action, Adventure",Mature
https://www.gamespot.com/games/resident-evil-revelations-2/,Resident Evil: Revelations 2,"Mar 17, 2015","Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One","Resident Evil Revelations 2 brings the terror to a new setting for PlayStation 4, PlayStation 3, Xbox 360, Xbox One, and PC.","Capcom, Frima Studio","Capcom, SCEA, SCEE","Adventure, Survival, 3D, Action",Mature
https://www.gamespot.com/games/aarus-awakening/,Aaru's Awakening,"Feb 23, 2015","Linux, Macintosh, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox One","Aaru's Awakening is a 2D action platformer where you are the champion of Dawn, Aaru who must complete missions and explore the world of Lumenox using Aaru's highly mobile skills, teleportation and charging.",Lumenox ehf,Lumenox ehf,"Platformer, 2D, Action",Everyone
https://www.gamespot.com/games/grow-home/,Grow Home,"Feb 4, 2015","Linux, PC, PlayStation 4","Grow Home is a quirky, experiential climbing game in development at Reflections.",Ubisoft Reflections,Ubisoft,"Action, Adventure",Everyone
https://www.gamespot.com/games/the-order-1886/,The Order: 1886,"Feb 20, 2015",PlayStation 4,The Order: 1886 pits well-armed agents against nasty demons in a steampunk-style world.,"Ready at Dawn, SCE Santa Monica","SCEA, SCEI, SCE Australia, SCEE","Action, Adventure",Mature
https://www.gamespot.com/games/nights-and-candles/,The Legend of Candlewind: Nights & Candles,"Feb 12, 2015",PC,,Atmosphere Entertainment Studios,"The Role Playing Company, 2tainment",Role-Playing,Rating Pending
https://www.gamespot.com/games/kirby-and-the-rainbow-curse/,Kirby and the Rainbow Curse,"Feb 20, 2015",Wii U,"Do you have the magic touch? Then guide Kirby as he sets off on grand adventures in a hand-sculpted clay world. Draw lines on the touch screen of the Wii U GamePad controller to create rainbow-colored clay ropes to move Kirby around freely, or tap him to attack enemies or blast through obstacles. Transformations include a submarine, rocket and tank. In underwater levels, Kirby dons a swim mask. If his power level gets too low, a clay bandage
appears on his head.",HAL Labs,Nintendo,"Platformer, Action, 2D",Everyone
https://www.gamespot.com/games/heroes-of-might-and-magic-iii/,Heroes of Might and Magic III,"Feb 28, 1999","Android, iOS (iPhone/iPad), Macintosh, PC","No doubt a port of the PC version, the Dreamcast version of Heroes of Might and Magic III is bound to deliver the Heroes formula to console strategy fans.","Ubisoft, New World Computing, 3DO","Ubisoft, 3DO",Strategy,Everyone
https://www.gamespot.com/games/criminal-girls-invite-only/,Criminal Girls: Invite Only,"Feb 3, 2015","PC, PlayStation Vita, PSP","Navigate through the four trials of the Redemption Program, and motivate your crew of delinquents to learn the skills to redeem themselves.",Image Epoch,"NIS America, Nippon Ichi Software",Role-Playing,Mature
